1,롯데,21, 24.48 , 1809 , 5726 , 5009 , 727 , 1393 , 266 , 10 , 107 , 2000 , 697 , 60 , 31 , 579 , 54 , 19 , 969 , 113 , 38 , 46 , .278 , .356 , .399 , .756 , .352 , 105.5 , 24.48 
2,롯데,18, 24.47 , 1910 , 5764 , 5130 , 821 , 1484 , 289 , 17 , 203 , 2416 , 792 , 68 , 32 , 471 , 81 , 22 , 1157 , 124 , 45 , 37 , .289 , .356 , .471 , .827 , .356 , 103.9 , 24.47 
3,롯데,14, 23.49 , 1615 , 5194 , 4487 , 716 , 1289 , 252 , 26 , 121 , 1956 , 686 , 63 , 41 , 534 , 70 , 19 , 964 , 95 , 62 , 41 , .287 , .369 , .436 , .805 , .359 , 100.1 , 23.49 
4,롯데,15, 21.70 , 1821 , 5680 , 4972 , 765 , 1393 , 254 , 19 , 177 , 2216 , 727 , 104 , 50 , 532 , 68 , 22 , 1186 , 136 , 80 , 28 , .280 , .356 , .446 , .802 , .354 , 102.9 , 21.70 
5,롯데,16, 21.46 , 1840 , 5784 , 5001 , 777 , 1439 , 252 , 20 , 127 , 2112 , 732 , 145 , 64 , 596 , 83 , 18 , 1061 , 120 , 62 , 41 , .288 , .370 , .422 , .793 , .359 , 100.4 , 21.46 
6,롯데,12, 21.38 , 1701 , 5043 , 4481 , 509 , 1179 , 202 , 16 , 73 , 1632 , 479 , 119 , 53 , 375 , 54 , 19 , 890 , 91 , 107 , 26 , .263 , .326 , .364 , .690 , .319 , 96.5 , 21.38 
7,롯데,20, 20.49 , 1745 , 5669 , 4958 , 750 , 1366 , 252 , 6 , 131 , 2023 , 711 , 90 , 31 , 569 , 55 , 18 , 875 , 148 , 39 , 48 , .276 , .354 , .408 , .762 , .347 , 99.6 , 20.49 
8,롯데,17, 19.89 , 1844 , 5671 , 4994 , 743 , 1425 , 250 , 17 , 151 , 2162 , 697 , 92 , 44 , 457 , 112 , 33 , 1018 , 146 , 76 , 32 , .285 , .356 , .433 , .789 , .347 , 98.1 , 19.89 
9,롯데,13, 19.58 , 1564 , 4978 , 4289 , 556 , 1118 , 208 , 18 , 61 , 1545 , 522 , 133 , 58 , 502 , 72 , 22 , 862 , 92 , 74 , 41 , .261 , .345 , .360 , .705 , .330 , 91.9 , 19.58 
10,롯데,23, 18.58 , 1835 , 5575 , 4870 , 653 , 1289 , 231 , 19 , 69 , 1765 , 608 , 101 , 42 , 522 , 51 , 18 , 1000 , 111 , 75 , 57 , .265 , .339 , .362 , .701 , .327 , 95.9 , 18.58 
11,롯데,22, 16.62 , 1761 , 5534 , 4948 , 605 , 1320 , 227 , 16 , 106 , 1897 , 570 , 61 , 39 , 417 , 54 , 19 , 991 , 127 , 73 , 42 , .267 , .328 , .383 , .711 , .324 , 96.4 , 16.62 
12,롯데,19, 10.91 , 1821 , 5488 , 4919 , 578 , 1231 , 214 , 22 , 90 , 1759 , 545 , 62 , 31 , 430 , 64 , 12 , 1085 , 108 , 35 , 40 , .250 , .316 , .358 , .674 , .312 , 85.8 , 10.91 
